id,first_name,last_name,email,gender,experience_years,age,state,current_position,interest,university_quality,gpa,years_work_experience,years_education_experience,prior_degree_level,prior_degree_field,sat_percentile,gpa_percentile,individual_income_level,parental_education_level,disposable_income_for_university,international_candidate,number_of_dependents
204,Harvey,Leed,hleed5n@printfriendly.com,Female,1,25,Connecticut,After-school / Enrichment Educator,Arts & Music Education,Liberal Arts College,3.56,1,1,Bachelor's Degree,Education,85,75,43988,Master's degree,6165,0,1
205,Lauralee,Tummond,ltummond5o@yellowbook.com,Female,2,28,Texas,Instructional Coach,STEM Education,Regional Public University,3.01,2,2,Associate Degree,Education,63,42,82933,High school or below,18098,0,1
206,Maisie,Proven,mproven5p@myspace.com,Female,2,28,Oregon,Career Switcher (Non-Education Background),Literacy & Language Learning,International Institution,3.1,2,1,Bachelor's Degree,Arts & Humanities,35,43,19677,Some college,5168,0,1
207,Lyda,Pipkin,lpipkin5q@arstechnica.com,Female,1,26,Florida,Teaching Assistant / Paraprofessional,STEM Education,R1 Research University,3.11,1,1,Bachelor's Degree,Social Sciences,77,55,27614,Some college,2881,0,1
208,Juli,Lenthall,jlenthall5r@typepad.com,Female,2,22,Arizona,K-12 Classroom Teacher,AI in Education,International Institution,3.6,2,1,Doctoral Degree,Social Sciences,66,87,46230,Bachelor's degree,13098,0,0
209,Quintilla,McGray,qmcgray5s@so-net.ne.jp,Nonbinary,6,27,New York,College Student (Non-Education Major),Assessment & Data-Informed Instruction,Private University (Nonselective),3.77,6,0,Master's Degree,Education,81,77,18503,High school or below,3614,0,1
210,Mariele,Madoc-Jones,mmadocjones5t@google.com.br,Male,3,27,California,K-12 Classroom Teacher,Edtech & Digital Learning,R1 Research University,3.7,3,3,Master's Degree,Education,62,72,81149,Master's degree,22501,0,1
211,Bobbie,Lightollers,blightollers5u@amazon.co.uk,Male,13,31,California,College Student (Non-Education Major),Edtech & Digital Learning,Private University (Nonselective),3.35,13,0,Bachelor's Degree,STEM,61,71,33440,Some college,9640,0,0
212,Wesley,Auckland,wauckland5v@state.tx.us,Male,7,28,Ohio,K-12 Classroom Teacher,Edtech & Digital Learning,R2 Research University,3.46,7,5,Bachelor's Degree,Education,63,60,70936,Bachelor's degree,20623,0,1
213,Dew,Shasnan,dshasnan5w@wufoo.com,Male,2,23,Alabama,College Student (Non-Education Major),Literacy & Language Learning,Liberal Arts College,3.24,2,0,Bachelor's Degree,Social Sciences,63,66,27697,Some college,8391,0,0
214,Sharity,Freiberg,sfreiberg5x@go.com,Male,2,25,Massachusetts,K-12 Classroom Teacher,Literacy & Language Learning,R2 Research University,3.58,2,2,Bachelor's Degree,Education,80,80,67983,Bachelor's degree,9206,0,0
215,Caleb,Lonsbrough,clonsbrough5y@cmu.edu,Male,23,42,California,College Student (Non-Education Major),Edtech & Digital Learning,R1 Research University,3.78,23,0,Master's Degree,Education,95,86,26925,Some college,4962,0,2
216,Dinah,Pantin,dpantin5z@creativecommons.org,Female,2,24,New York,K-12 Classroom Teacher,Edtech & Digital Learning,International Institution,3.38,2,2,Bachelor's Degree,Social Sciences,32,72,48694,Bachelor's degree,8333,0,0
217,Dominique,Billison,dbillison60@bbb.org,Female,15,37,Texas,Teaching Assistant / Paraprofessional,Social-Emotional Learning (SEL),Community College / 2-Year College,3.68,15,1,Associate Degree,Health / Nursing,41,86,33137,Bachelor's degree,3706,0,1
218,Vida,Blaxter,vblaxter61@unicef.org,Male,7,35,Florida,School or District Leader,Assessment & Data-Informed Instruction,R1 Research University,3.71,7,7,Bachelor's Degree,Other,86,81,102578,High school or below,16007,1,2
219,Burtie,Farquarson,bfarquarson62@howstuffworks.com,Male,13,35,Texas,K-12 Classroom Teacher,STEM Education,Private University (Nonselective),3.25,13,10,Bachelor's Degree,Social Sciences,61,57,62385,High school or below,9087,0,2
220,Roanna,Ridpath,rridpath63@eepurl.com,Male,8,40,Florida,Education Consultant,Inclusive & Special Education,Regional Public University,3.36,8,8,Bachelor's Degree,Social Sciences,65,57,88847,Bachelor's degree,9142,0,1
221,Mohammed,Berford,mberford64@hao123.com,Female,2,22,Louisiana,Teaching Assistant / Paraprofessional,Social-Emotional Learning (SEL),R2 Research University,3.59,2,1,Bachelor's Degree,Education,75,82,25510,Master's degree,6912,0,0
222,Reynold,Chesser,rchesser65@army.mil,Male,7,30,California,Instructional Coach,Social-Emotional Learning (SEL),Private University (Nonselective),3.46,7,6,Bachelor's Degree,STEM,60,63,80786,Bachelor's degree,16381,0,1
223,Davey,Lukianovich,dlukianovich66@miitbeian.gov.cn,Male,7,29,New York,Instructional Coach,Leadership & School Improvement,Regional Public University,3.63,7,6,Associate Degree,Education,57,77,69221,Bachelor's degree,18527,1,0
224,Stephan,Bouttell,sbouttell67@surveymonkey.com,Female,0,24,Ohio,K-12 Classroom Teacher,AI in Education,R2 Research University,3.41,0,0,Associate Degree,Health / Nursing,82,56,58942,Doctoral degree,11476,0,0
225,Felike,Kobsch,fkobsch68@google.nl,Female,8,39,New York,College Student (Non-Education Major),Literacy & Language Learning,Regional Public University,3.45,8,1,Bachelor's Degree,Arts & Humanities,93,72,18679,Bachelor's degree,2108,0,0
226,Lyndy,MacDonnell,lmacdonnell69@telegraph.co.uk,Male,15,55,Washington,Teaching Assistant / Paraprofessional,AI in Education,Regional Public University,2.91,15,0,Bachelor's Degree,Other,62,27,45333,Doctoral degree,6589,0,1
227,Camel,Jeaffreson,cjeaffreson6a@wired.com,Male,5,30,Florida,Career Switcher (Non-Education Background),Arts & Music Education,Regional Public University,2.8,5,0,Bachelor's Degree,Education,55,39,15915,Bachelor's degree,2646,0,0
228,Sibyl,Garrod,sgarrod6b@nba.com,Male,0,24,Maryland,K-12 Classroom Teacher,Edtech & Digital Learning,Community College / 2-Year College,3.32,0,0,Bachelor's Degree,Education,39,67,49694,Bachelor's degree,15577,0,0
229,Dorry,Higgonet,dhiggonet6c@clickbank.net,Female,2,25,Kentucky,K-12 Classroom Teacher,Literacy & Language Learning,Regional Public University,3.02,2,2,Bachelor's Degree,Education,34,52,55335,Bachelor's degree,9383,0,0
230,Gwennie,Karus,gkarus6d@telegraph.co.uk,Nonbinary,2,25,Massachusetts,K-12 Classroom Teacher,Literacy & Language Learning,Private University (Nonselective),3.59,2,1,Master's Degree,Education,52,78,56808,Doctoral degree,16097,0,0
231,Gabi,Leagas,gleagas6e@sbwire.com,Male,2,23,Massachusetts,K-12 Classroom Teacher,STEM Education,Regional Public University,3.06,2,1,Master's Degree,Social Sciences,50,35,52782,Doctoral degree,10391,0,0
232,Myrta,Iacavone,miacavone6f@si.edu,Male,19,51,Texas,K-12 Classroom Teacher,Arts & Music Education,International Institution,4.0,19,9,Bachelor's Degree,Education,44,99,68288,Master's degree,12148,0,2
233,Selena,Fredson,sfredson6g@seesaa.net,Female,32,63,Texas,Preservice Teacher / Education Student,Arts & Music Education,Liberal Arts College,3.98,32,1,Bachelor's Degree,Social Sciences,81,93,10911,Some college,1820,1,1
234,Barbabra,Blockey,bblockey6h@cpanel.net,Female,14,32,California,K-12 Classroom Teacher,Social-Emotional Learning (SEL),Regional Public University,3.16,14,4,Master's Degree,STEM,50,54,77446,High school or below,9219,0,2
235,Terrance,Sponton,tsponton6i@people.com.cn,Female,2,22,Texas,Higher Education Instructor,AI in Education,Private University (Nonselective),3.74,2,2,Bachelor's Degree,Education,53,74,93912,Bachelor's degree,23822,0,0
236,Brett,Saffen,bsaffen6j@multiply.com,Female,20,48,Michigan,K-12 Classroom Teacher,Edtech & Digital Learning,Private University (Nonselective),3.09,20,6,Doctoral Degree,STEM,61,48,46792,Master's degree,5374,0,3
237,Lucias,Bartosiak,lbartosiak6k@booking.com,Male,6,29,Louisiana,K-12 Classroom Teacher,Social-Emotional Learning (SEL),Regional Public University,3.08,6,3,Bachelor's Degree,Education,39,55,52714,Master's degree,7046,0,1
238,Margarette,July,mjuly6l@imgur.com,Female,14,32,Texas,Instructional Coach,Literacy & Language Learning,R2 Research University,3.43,14,13,Bachelor's Degree,Education,50,53,80499,Some college,21464,0,0
239,Mabel,Gersam,mgersam6m@jiathis.com,Male,1,24,Pennsylvania,Instructional Coach,Edtech & Digital Learning,R2 Research University,3.05,1,1,Bachelor's Degree,Education,47,65,69409,Bachelor's degree,7738,0,0
240,Ronda,Fadden,rfadden6n@youtube.com,Male,5,28,Arizona,Preservice Teacher / Education Student,Inclusive & Special Education,International Institution,3.7,5,0,Other / International Equivalency,Education,72,80,34411,Master's degree,12192,1,1
241,Jinny,Lornsen,jlornsen6o@state.tx.us,Female,4,28,Alabama,Teaching Assistant / Paraprofessional,Inclusive & Special Education,Regional Public University,3.5,4,3,Bachelor's Degree,Education,32,82,37481,Some college,10546,0,1
242,Stoddard,Philcock,sphilcock6p@sbwire.com,Male,3,29,Georgia,Higher Education Instructor,Leadership & School Improvement,Community College / 2-Year College,2.93,3,3,Associate Degree,Social Sciences,45,36,92073,Bachelor's degree,26829,0,0
243,Leda,Skrzynski,lskrzynski6q@hud.gov,Female,5,37,Indiana,Instructional Coach,Edtech & Digital Learning,Regional Public University,3.35,5,5,Bachelor's Degree,Education,55,59,68201,Some college,19457,0,0
244,Dario,Keymar,dkeymar6r@census.gov,Female,2,25,Texas,After-school / Enrichment Educator,AI in Education,Regional Public University,3.55,2,2,Bachelor's Degree,Business,70,72,25351,High school or below,4868,0,0
245,Schuyler,Sollime,ssollime6s@de.vu,Female,0,22,Florida,Teaching Assistant / Paraprofessional,Edtech & Digital Learning,R2 Research University,3.66,0,0,Bachelor's Degree,Education,64,65,33510,Bachelor's degree,9779,0,0
246,Fayre,McCarter,fmccarter6t@usda.gov,Nonbinary,5,26,North Carolina,Instructional Coach,Leadership & School Improvement,R2 Research University,3.24,5,5,Bachelor's Degree,Social Sciences,66,60,65148,High school or below,13145,0,1
247,Gran,O' Meara,gomeara6u@shop-pro.jp,Female,18,46,Virginia,School or District Leader,Social-Emotional Learning (SEL),Regional Public University,3.48,18,10,Master's Degree,Arts & Humanities,70,63,73509,Bachelor's degree,8846,0,3
248,Cori,Malafe,cmalafe6v@bing.com,Female,2,24,Illinois,After-school / Enrichment Educator,Arts & Music Education,International Institution,3.12,2,2,Bachelor's Degree,STEM,51,38,26302,High school or below,4870,0,0
249,Riane,Clues,rclues6w@tamu.edu,Male,8,32,Texas,K-12 Classroom Teacher,Edtech & Digital Learning,Regional Public University,3.38,8,5,Bachelor's Degree,Education,62,59,40840,Some college,13836,0,0
250,Sandy,Lugton,slugton6x@domainmarket.com,Female,7,30,New York,Education Consultant,Literacy & Language Learning,Liberal Arts College,3.36,7,7,Bachelor's Degree,Education,77,62,146708,High school or below,20340,0,0
251,Saree,Akid,sakid6y@howstuffworks.com,Female,21,55,Florida,Higher Education Instructor,Edtech & Digital Learning,R2 Research University,3.65,21,21,Bachelor's Degree,Education,52,77,64165,Bachelor's degree,12795,1,3
252,Daisie,Kattenhorn,dkattenhorn6z@weebly.com,Female,22,51,Florida,K-12 Classroom Teacher,Arts & Music Education,International Institution,3.21,22,20,Bachelor's Degree,Education,57,55,58721,Bachelor's degree,12647,0,3
253,Salvatore,Abercromby,sabercromby70@google.de,Female,5,28,Alabama,K-12 Classroom Teacher,AI in Education,Regional Public University,3.22,5,2,Master's Degree,Social Sciences,60,54,58577,Some college,12959,0,0
254,Coreen,Matthew,cmatthew71@smugmug.com,Female,2,25,New Jersey,K-12 Classroom Teacher,Inclusive & Special Education,Regional Public University,3.38,2,1,Bachelor's Degree,Education,35,63,52036,High school or below,17775,1,1
255,Jaye,Elsy,jelsy72@mediafire.com,Male,4,26,Arizona,K-12 Classroom Teacher,AI in Education,Regional Public University,2.77,4,3,Bachelor's Degree,Education,21,30,53399,Some college,16393,0,1
256,Nicola,Leonard,nleonard73@etsy.com,Female,18,41,Texas,K-12 Classroom Teacher,Literacy & Language Learning,Regional Public University,3.6,18,2,Bachelor's Degree,Education,59,81,50188,Doctoral degree,17736,1,3
257,Adella,Enric,aenric74@google.com,Female,2,23,Michigan,Preservice Teacher / Education Student,Literacy & Language Learning,Private University (Nonselective),4.0,2,1,Bachelor's Degree,Business,39,88,32180,Master's degree,11497,0,0
258,Dyan,Gull,dgull75@istockphoto.com,Male,2,25,California,Preservice Teacher / Education Student,Social-Emotional Learning (SEL),Private University (Nonselective),3.2,2,1,Doctoral Degree,Education,58,63,37310,Master's degree,6223,0,1
259,Fidelio,Francklyn,ffrancklyn76@ucsd.edu,Male,1,30,Michigan,Teaching Assistant / Paraprofessional,Leadership & School Improvement,Private University (Nonselective),2.87,1,1,Bachelor's Degree,Other,57,27,31074,High school or below,10746,0,0
260,Sayer,Eggleton,seggleton77@blogs.com,Female,11,35,Michigan,K-12 Classroom Teacher,Leadership & School Improvement,R1 Research University,3.23,11,9,Bachelor's Degree,Education,75,59,58689,High school or below,8243,0,1
261,Lyell,Sweet,lsweet78@spotify.com,Male,1,22,New York,Preservice Teacher / Education Student,Literacy & Language Learning,R2 Research University,3.29,1,0,Bachelor's Degree,STEM,64,69,32186,Master's degree,12226,0,0
262,Ileana,Chelnam,ichelnam79@ihg.com,Male,8,39,North Carolina,Career Switcher (Non-Education Background),Literacy & Language Learning,Regional Public University,2.65,8,1,Bachelor's Degree,Business,41,3,33969,Bachelor's degree,6341,0,1
263,Rocky,Bailles,rbailles7a@weather.com,Female,5,26,Florida,Instructional Coach,AI in Education,Regional Public University,3.62,5,5,Associate Degree,Education,61,76,72861,Bachelor's degree,15850,0,1
264,Shayna,Mountfort,smountfort7b@google.com.br,Male,1,30,Texas,Preservice Teacher / Education Student,AI in Education,Regional Public University,3.14,1,1,Bachelor's Degree,Education,59,49,15883,Bachelor's degree,2143,0,1
265,Amie,Gillcrist,agillcrist7c@engadget.com,Female,17,54,Oregon,Preservice Teacher / Education Student,Edtech & Digital Learning,R1 Research University,3.41,17,1,Bachelor's Degree,Social Sciences,67,62,26995,Doctoral degree,3321,0,2
266,Vachel,Peacham,vpeacham7d@opera.com,Female,1,30,Tennessee,Career Switcher (Non-Education Background),Arts & Music Education,R2 Research University,3.3,1,1,Master's Degree,Arts & Humanities,60,63,21728,Bachelor's degree,6673,0,1
267,Gerald,Fonte,gfonte7e@epa.gov,Male,14,38,California,K-12 Classroom Teacher,AI in Education,Regional Public University,3.35,14,13,Bachelor's Degree,Social Sciences,65,58,75135,Some college,14165,0,1
268,Carlyn,Reynalds,creynalds7f@last.fm,Male,13,40,Michigan,K-12 Classroom Teacher,Social-Emotional Learning (SEL),Regional Public University,3.32,13,1,Bachelor's Degree,Education,62,61,73678,Bachelor's degree,10369,0,0
269,Wilie,Georgescu,wgeorgescu7g@sun.com,Nonbinary,4,29,Florida,K-12 Classroom Teacher,Social-Emotional Learning (SEL),International Institution,3.06,4,4,Bachelor's Degree,Education,45,36,74994,Some college,19046,0,1
270,Tilly,Finnemore,tfinnemore7h@ca.gov,Female,2,28,Texas,K-12 Classroom Teacher,Leadership & School Improvement,R1 Research University,3.68,2,1,Bachelor's Degree,Education,46,54,58796,Bachelor's degree,9660,0,0
271,Kevyn,O'Lynn,kolynn7i@about.com,Female,2,30,Minnesota,Career Switcher (Non-Education Background),Arts & Music Education,International Institution,3.3,2,1,Master's Degree,Arts & Humanities,65,66,16211,Doctoral degree,5295,0,0
272,Marietta,Hallewell,mhallewell7j@apple.com,Male,33,60,Illinois,Career Switcher (Non-Education Background),Literacy & Language Learning,Private University (Nonselective),3.61,33,1,Bachelor's Degree,Social Sciences,74,70,20298,Some college,5624,1,2
273,Delinda,Fessby,dfessby7k@w3.org,Male,30,64,Wisconsin,School or District Leader,Inclusive & Special Education,Private University (Nonselective),2.99,30,30,Bachelor's Degree,STEM,58,53,89702,Some college,25233,0,3
274,Frederico,Vasyagin,fvasyagin7l@github.com,Female,1,23,California,Education Nonprofit Staff,Leadership & School Improvement,Regional Public University,2.69,1,0,Bachelor's Degree,Business,57,12,52596,Master's degree,7386,0,0
275,Jacky,Rowes,jrowes7m@examiner.com,Female,11,45,California,Education Consultant,Inclusive & Special Education,Regional Public University,3.01,11,11,Bachelor's Degree,STEM,38,56,174070,Bachelor's degree,27734,1,3
276,Wynnie,Casse,wcasse7n@unesco.org,Female,6,36,California,K-12 Classroom Teacher,Edtech & Digital Learning,R1 Research University,3.59,6,4,Bachelor's Degree,Arts & Humanities,78,91,84660,Some college,13262,0,2
277,Arlin,Pereira,apereira7o@google.co.uk,Female,7,35,Pennsylvania,Preservice Teacher / Education Student,Social-Emotional Learning (SEL),Regional Public University,3.55,7,1,Bachelor's Degree,Education,72,84,24800,Master's degree,9032,0,0
278,Andres,Hellsdon,ahellsdon7p@statcounter.com,Female,16,51,New Jersey,K-12 Classroom Teacher,Social-Emotional Learning (SEL),Community College / 2-Year College,3.65,16,16,Bachelor's Degree,Education,20,92,63131,High school or below,18292,0,3
279,Gene,Greest,ggreest7q@over-blog.com,Female,7,37,Indiana,Instructional Coach,STEM Education,Regional Public University,2.77,7,7,Master's Degree,Education,61,25,72058,Bachelor's degree,14750,0,0
280,Zarla,Veale,zveale7r@sohu.com,Female,1,25,California,K-12 Classroom Teacher,Leadership & School Improvement,R2 Research University,3.89,1,1,Master's Degree,Education,76,97,57849,Bachelor's degree,17843,0,1
281,Corissa,Frape,cfrape7s@alibaba.com,Male,3,30,Pennsylvania,Career Switcher (Non-Education Background),Social-Emotional Learning (SEL),Regional Public University,3.65,3,0,Master's Degree,Business,66,83,23656,Some college,6132,0,1
282,Finlay,Please,fplease7t@acquirethisname.com,Male,0,23,Massachusetts,Education Nonprofit Staff,Inclusive & Special Education,R1 Research University,3.63,0,0,Bachelor's Degree,Health / Nursing,79,89,79126,Master's degree,28259,0,0
283,Enriqueta,Du Pre,edupre7u@dailymotion.com,Male,20,43,Oklahoma,K-12 Classroom Teacher,STEM Education,Regional Public University,3.28,20,5,Bachelor's Degree,Education,40,69,45830,Doctoral degree,10126,0,2
284,Alonso,Soldner,asoldner7v@facebook.com,Male,30,63,Ohio,K-12 Classroom Teacher,Inclusive & Special Education,Liberal Arts College,3.98,30,14,Bachelor's Degree,Education,67,94,73034,Some college,9966,0,3
285,Adelaida,Sprasen,asprasen7w@mayoclinic.com,Male,1,27,Ohio,Career Switcher (Non-Education Background),Assessment & Data-Informed Instruction,Regional Public University,3.21,1,1,Bachelor's Degree,Other,65,59,31401,Master's degree,3526,0,0
286,Willi,McGeown,wmcgeown7x@squarespace.com,Male,13,46,Oklahoma,Education Nonprofit Staff,Leadership & School Improvement,Liberal Arts College,3.67,13,3,Bachelor's Degree,Other,59,90,55159,Bachelor's degree,9321,1,2
287,Lenore,Noli,lnoli7y@engadget.com,Male,10,34,Florida,K-12 Classroom Teacher,Inclusive & Special Education,Regional Public University,2.75,10,4,Bachelor's Degree,Education,73,37,64218,Master's degree,21126,0,2
288,Fay,McEllen,fmcellen7z@opera.com,Female,1,22,New York,K-12 Classroom Teacher,STEM Education,Regional Public University,3.33,1,1,Master's Degree,Social Sciences,75,60,67998,High school or below,13259,0,0
289,Ignatius,Knutton,iknutton80@google.it,Female,0,22,New York,Instructional Coach,AI in Education,R1 Research University,3.29,0,0,Bachelor's Degree,Education,83,51,66154,Bachelor's degree,16098,0,0
290,Dorette,Butchard,dbutchard81@instagram.com,Female,20,60,New York,Teaching Assistant / Paraprofessional,STEM Education,Liberal Arts College,3.2,20,0,Doctoral Degree,Health / Nursing,68,67,38386,Some college,11793,0,1
291,Allard,Rucklesse,arucklesse82@amazon.co.jp,Female,11,55,California,Education Nonprofit Staff,Arts & Music Education,International Institution,3.34,11,1,Master's Degree,Other,59,60,79210,High school or below,23110,0,2
292,Micheline,Gagan,mgagan83@ow.ly,Female,17,46,California,After-school / Enrichment Educator,AI in Education,Community College / 2-Year College,3.32,17,0,Associate Degree,Social Sciences,28,73,37702,Master's degree,13088,0,1
293,Danny,Paprotny,dpaprotny84@taobao.com,Female,7,39,California,Preservice Teacher / Education Student,Inclusive & Special Education,Community College / 2-Year College,3.17,7,0,Associate Degree,Social Sciences,70,51,16629,High school or below,5468,0,0
294,Dannye,Heers,dheers85@sciencedirect.com,Male,16,54,Illinois,K-12 Classroom Teacher,Edtech & Digital Learning,R2 Research University,2.92,16,1,Bachelor's Degree,Education,62,24,70984,Doctoral degree,22735,0,2
295,Robena,Matiashvili,rmatiashvili86@t-online.de,Female,3,30,Alabama,K-12 Classroom Teacher,STEM Education,R2 Research University,3.38,3,2,Bachelor's Degree,Education,68,62,70322,Some college,18962,0,0
296,Richmond,Macilhench,rmacilhench87@w3.org,Female,10,32,Florida,K-12 Classroom Teacher,STEM Education,International Institution,3.76,10,2,Master's Degree,Education,75,74,48529,Master's degree,16965,1,1
297,Conroy,Murdoch,cmurdoch88@mapy.cz,Female,5,29,California,Career Switcher (Non-Education Background),Social-Emotional Learning (SEL),Regional Public University,3.23,5,1,Bachelor's Degree,STEM,25,67,49005,Doctoral degree,11408,0,1
298,Zea,Sysland,zsysland89@google.es,Female,16,47,Washington,Preservice Teacher / Education Student,Literacy & Language Learning,R2 Research University,3.7,16,1,Bachelor's Degree,Education,64,83,12734,Some college,2574,1,1
299,Cinda,Drohan,cdrohan8a@xinhuanet.com,Female,2,24,Florida,K-12 Classroom Teacher,Social-Emotional Learning (SEL),International Institution,3.46,2,1,Master's Degree,Education,78,65,49873,Some college,12713,0,0
300,Shellie,Kilfedder,skilfedder8b@printfriendly.com,Female,0,24,Kentucky,Other,STEM Education,Community College / 2-Year College,4.0,0,0,Master's Degree,Education,27,96,55242,Some college,10069,0,0
301,Mora,Faherty,mfaherty8c@printfriendly.com,Female,1,28,Texas,K-12 Classroom Teacher,Arts & Music Education,R2 Research University,3.4,1,1,Bachelor's Degree,Education,61,67,61371,Master's degree,19818,0,0
302,Berkeley,Hallum,bhallum8d@google.com.hk,Male,2,29,Texas,After-school / Enrichment Educator,AI in Education,Community College / 2-Year College,3.0,2,2,Bachelor's Degree,STEM,39,48,35339,Bachelor's degree,6197,0,1
303,Mycah,Hardwell,mhardwell8e@wp.com,Female,19,54,Wisconsin,K-12 Classroom Teacher,Social-Emotional Learning (SEL),Regional Public University,3.67,19,2,Bachelor's Degree,Social Sciences,43,74,71607,Some college,24966,0,1
304,Jan,Eefting,jeefting8f@parallels.com,Female,0,25,Illinois,Education Nonprofit Staff,Edtech & Digital Learning,Community College / 2-Year College,3.06,0,0,Associate Degree,STEM,49,49,40208,Bachelor's degree,5209,1,0
305,Ingunna,Polkinhorn,ipolkinhorn8g@eepurl.com,Female,6,27,North Carolina,K-12 Classroom Teacher,Social-Emotional Learning (SEL),Regional Public University,3.51,6,1,Bachelor's Degree,Education,71,86,73374,Doctoral degree,24781,0,1
306,Delcine,Callender,dcallender8h@example.com,Male,6,26,Alabama,K-12 Classroom Teacher,Literacy & Language Learning,R2 Research University,3.52,6,3,Bachelor's Degree,Education,87,77,55703,Bachelor's degree,17969,0,0
307,Corie,Savill,csavill8i@hubpages.com,Female,2,22,Oregon,Education Consultant,Edtech & Digital Learning,Liberal Arts College,3.12,2,2,Master's Degree,Education,73,41,148977,High school or below,47120,0,0
308,Brent,Peatheyjohns,bpeatheyjohns8j@about.com,Male,9,39,Alabama,Instructional Coach,STEM Education,Regional Public University,3.21,9,7,Master's Degree,Social Sciences,40,75,55117,High school or below,8439,1,1
309,Cordell,Gonnel,cgonnel8k@posterous.com,Nonbinary,0,22,Massachusetts,Instructional Coach,STEM Education,Regional Public University,3.4,0,0,Master's Degree,Education,61,69,98042,Master's degree,27303,0,0
310,Marnia,Berwick,mberwick8l@phpbb.com,Female,24,42,Texas,School or District Leader,Social-Emotional Learning (SEL),Liberal Arts College,3.48,24,6,Doctoral Degree,STEM,72,60,93744,Bachelor's degree,10145,0,2
311,Lynda,O'Fallowne,lofallowne8m@sakura.ne.jp,Male,0,23,New York,Career Switcher (Non-Education Background),Assessment & Data-Informed Instruction,R2 Research University,3.51,0,0,Doctoral Degree,Business,53,82,39900,Bachelor's degree,12781,0,0
312,Denyse,Grassick,dgrassick8n@indiegogo.com,Female,2,22,Minnesota,College Student (Non-Education Major),Social-Emotional Learning (SEL),Community College / 2-Year College,2.55,2,1,Master's Degree,Other,64,53,21294,Master's degree,3753,0,0
313,Wini,Eble,weble8o@example.com,Female,2,23,California,Education Consultant,Social-Emotional Learning (SEL),Regional Public University,3.22,2,2,Bachelor's Degree,Social Sciences,82,77,106491,Doctoral degree,20697,0,0
314,Lilly,Clothier,lclothier8p@ovh.net,Male,1,24,Illinois,K-12 Classroom Teacher,Literacy & Language Learning,Regional Public University,3.41,1,1,Doctoral Degree,Education,32,58,54291,Doctoral degree,18346,0,0
315,Evangelia,Cawthorne,ecawthorne8q@netlog.com,Male,5,26,Florida,Instructional Coach,Literacy & Language Learning,R1 Research University,3.48,5,5,Master's Degree,Business,91,70,83604,Bachelor's degree,10949,0,2
316,Ardis,Rushton,arushton8r@telegraph.co.uk,Male,9,33,Florida,K-12 Classroom Teacher,Edtech & Digital Learning,R2 Research University,3.24,9,3,Bachelor's Degree,Arts & Humanities,51,71,62149,Doctoral degree,11038,1,2
317,Cordell,Sculpher,csculpher8s@stanford.edu,Female,11,40,North Carolina,Instructional Coach,Arts & Music Education,R2 Research University,3.42,11,9,Bachelor's Degree,Education,74,60,64992,High school or below,7002,0,2
318,Timotheus,Tight,ttight8t@nbcnews.com,Female,18,55,Washington,Instructional Coach,Literacy & Language Learning,Private University (Nonselective),3.14,18,14,Bachelor's Degree,Education,53,48,65971,Doctoral degree,8665,0,3
319,Chance,Girton,cgirton8u@phoca.cz,Female,1,27,Texas,Preservice Teacher / Education Student,AI in Education,Regional Public University,3.05,1,0,Master's Degree,Education,48,43,31369,Doctoral degree,6244,0,0
320,Waldemar,Flecknoe,wflecknoe8v@narod.ru,Female,4,26,Kentucky,Preservice Teacher / Education Student,Edtech & Digital Learning,R2 Research University,3.27,4,1,Bachelor's Degree,STEM,99,65,15685,Doctoral degree,3049,1,0
321,Allys,Warlow,awarlow8w@imdb.com,Female,0,25,Oregon,K-12 Classroom Teacher,Assessment & Data-Informed Instruction,Private University (Nonselective),2.95,0,0,Bachelor's Degree,Education,61,33,46791,Bachelor's degree,13993,1,1
322,Gaile,Allaker,gallaker8x@pinterest.com,Female,2,22,California,Career Switcher (Non-Education Background),Literacy & Language Learning,Regional Public University,3.06,2,1,Bachelor's Degree,Business,64,46,36548,Master's degree,8600,0,0
323,Amargo,Gowry,agowry8y@ted.com,Female,5,28,Florida,Career Switcher (Non-Education Background),Assessment & Data-Informed Instruction,Regional Public University,3.64,5,0,Master's Degree,STEM,46,86,37381,Bachelor's degree,5976,0,0
324,Erwin,Jecks,ejecks8z@ifeng.com,Female,7,28,Florida,After-school / Enrichment Educator,Inclusive & Special Education,Community College / 2-Year College,3.24,7,2,Master's Degree,Social Sciences,51,76,29095,Master's degree,10339,0,0
325,Rubie,Loyd,rloyd90@over-blog.com,Female,6,36,Virginia,K-12 Classroom Teacher,Leadership & School Improvement,R2 Research University,3.62,6,5,Bachelor's Degree,STEM,45,70,68088,Bachelor's degree,18189,1,1
326,Scotty,Ordidge,sordidge91@techcrunch.com,Male,0,24,Arizona,K-12 Classroom Teacher,AI in Education,Regional Public University,3.4,0,0,Bachelor's Degree,Social Sciences,77,60,56205,Doctoral degree,17827,0,0
327,Erinn,Lifton,elifton92@springer.com,Female,2,26,Colorado,K-12 Classroom Teacher,Social-Emotional Learning (SEL),Regional Public University,2.94,2,1,Bachelor's Degree,Education,42,37,51759,Master's degree,9756,1,1
328,Jena,Gasken,jgasken93@xrea.com,Male,18,44,Ohio,Education Nonprofit Staff,Literacy & Language Learning,Private University (Nonselective),3.37,18,1,Bachelor's Degree,STEM,35,57,55333,Master's degree,6768,0,3
